transaction_hash,spending_transaction_hash,value_spent,z_score,window,mean_volume,std_volume
93ea8d53dc2f10f11ccb6c72b58a80abeae592acf68cce4b944160d6bc15b47e,4a1ea93878d37cf6cf27550b8f1c6237dfd30fb27e328d45dc384675a305b408,3926694130.0,6.046317079130929,01-20,53243314.33537633,640629785.8631947
d712c799b20d9a8fca267eb43ec02e606a0d46fb0284aaa69900efb1084b946f,379fe3bfebbeb240ed76f97558a422b3d6573fb8310453e0df5434fd75903d32,3738978164.0,6.04584289467055,18-40,43711030.903781585,611207932.0409766
6fd6cfd60cd8416594b9dc2009aae301e6f5cbbfe4820a92077fa437f978febe,f293676d081ec9d16434638299668a852a28b98546dbdcd1ff9ffad4dfe5fe7b,3421035060.0,6.0384842922764115,03-00,41405538.782122694,559681760.792295
f293676d081ec9d16434638299668a852a28b98546dbdcd1ff9ffad4dfe5fe7b,513b9290baf346ff33d36eb79e7c41d54480109aa6536124a086439c3425e3e1,3420101432.0,6.036816151441023,03-00,41405538.782122694,559681760.792295
513b9290baf346ff33d36eb79e7c41d54480109aa6536124a086439c3425e3e1,d349b738bf3d5938722383a244a6c68fa44227b004b162167b718dd24594f963,3419152304.0,6.035120316295964,03-00,41405538.782122694,559681760.792295
eb9299f51fdfd99c84292ad042ef99fdc8709f606ef037b0f869b6586a69a4ee,840c52caa4bb46d269460a586c8409f9b6a3b212739227c73ffe24a41fbe6921,3750164086.0,6.033779606517824,11-20,33637998.46975269,615953238.2514555
d349b738bf3d5938722383a244a6c68fa44227b004b162167b718dd24594f963,d3b50d277bf57b9b7ca8a5411962451f50ef625a6631dd7677430f02a67e42a0,3418238976.0,6.033488446072594,03-00,41405538.782122694,559681760.792295
d3b50d277bf57b9b7ca8a5411962451f50ef625a6631dd7677430f02a67e42a0,98fc564b60342cab9a8113bc1ef2aa1b754214e4a233e5e60d74605706542162,3417262448.0,6.031743654534957,03-00,41405538.782122694,559681760.792295
98fc564b60342cab9a8113bc1ef2aa1b754214e4a233e5e60d74605706542162,000d5f87c0e0e6141a25e35faf73ab75643b4815022530919cdb19b3b5b139ff,3416269720.0,6.029969917976892,03-00,41405538.782122694,559681760.792295
000d5f87c0e0e6141a25e35faf73ab75643b4815022530919cdb19b3b5b139ff,51e2d28d257ec88558e46231fe7adf10117138129793a91986a02a5191599288,3415360992.0,6.02834626670994,03-00,41405538.782122694,559681760.792295
51e2d28d257ec88558e46231fe7adf10117138129793a91986a02a5191599288,ea54b9f8ca807169ff119783bf8b6bbea4d32b63a17c9aef21fad4ef6a59e39c,3414453164.0,6.02672422349968,03-00,41405538.782122694,559681760.792295
