node,in_degree
6ceaa434194a18066a41456a2f2b70c54576e2eef2868f5d6ef7c88af9dae7e9,2
5016167bbc4840baa6f56fe8e776a35842be93e2fdabfb936d27bd4381c4cb71,90
429763144cea1329312dec82db6dabbd1621006d349b264e4d5e422677d37541,339
a2b4724d8398df6b75d9b2272f418209cc5e827bee3a27e88de0b932b870768e,12
9ceb6c8c5fb163c5300b0d9ebef054b2608d309dce6874ec568bb13051921a62,2
b911eb4d69a8c3c36f79ccde753f55645fc0f8b619da422dbc33b272388f0f85,135
f8ebadc5e0659a21f4892baa84e663438260e2a8a903ed39790eee181655dae1,4
c4246aee30a670be4b22ce75fca44a94b79e157f3abea4ffd4f850596f235539,10
30673a8325c613530bf391af36bdf0716c9046f5f58b092b3d6f8f4730a28f83,11
1c79c5bc1c9a5856aa3d5170266a4cc3a106de70850983d15332117bfc4e697b,28
32d2602b88a9766c8381797fc40e6f360173754c690e98d2aa3aab8eb9b864e5,3
c26e84d446b2e2d7ecfb1a1503b2e35a98b5620110a54b43e5cb5d41d7786e3c,95
48760ccfae5677160b6762e1e8da815f39f1c71b331dee785d832d5db8cdb43f,2
5d308a7fb3ba4b060a5441cbd4fde0a75e31d073110e762d56ea217901d985bc,173
7b593e0a58bf4104d83d2fd8211878aaa48fa617a10d2ade69124c75290832e0,2
0f5c82aa6c237ec63810eb319b740adb3c65e28d765a98e075fed24721bd79cd,144
df3bcbe4b117c401e6e0e65f6191652f5e7c57e82bf55c937ecd58f0db95fabb,823
58d128a3973dc5bbfc25081d6c537546082e083602d6c189250496900f97bd3b,6
bdde53770dc4a51e32b1c6aa9cd5c59f60f4ef1396206f18011a97a7caa02739,3
0b692f543b80db64d8117e7c01fbf24361a2553cdba1123086b1f56a47b97ccb,4
9e04f6c7eea1ea29acd60bccfb8f9f5ce125f5182333c8461d07df676c1a7fee,7
5f864e1e09ed5b8277753914182a10303ee09411ec369422464026b78847a08d,3
ad2d0878bb0ed232b98360ebb86113e6bc1a12867a4c8fcb6b89614aa22b290a,2
852b5401ed828db7184b220c22be0cbee4ca9a948b1674e49696e0969fec32da,2
c987f463ab2d64702ae648fb6fdfba6fe7786d5308bd2b62a11b9796d9a30daa,3
048def5c3eef10a907fcc36603dfa02d09cb83d1528b43b45551ecc72c3be689,2
becb80842059609888384fdcc4f41cfa4707d8abad5ee66cffecdb87b995c661,14
79280d5962762d12530a3bb18373cd6d48fa85aa7a3c32629c6b802a5febe557,3
753300f79f861ea95f5f72bdf1e33856503e41c7505cb685f0a48fbf3b9e3965,54
775529541ee0253ed3722e61ddccf17610504753c74086926d5a27d642767fdc,237
7a1e1960911e75892bbc6a46b7d9d7e3c5740c44fd4811fc1ad17bfda55717fc,3
5520ff38815744f749c24f793f259bdbbdb14d00b0a9b0c5101de876b7cc018b,3
be1e20540ba40d5d62af1c33caede28a59317d2ab52a97cef508ef0fcbe66308,1038
7c32ee887166dc10dd730e350bf4bde339c8cca9ac49c5fd5f2871278beee362,653
